powers old;powers name
superhuman strength;superhuman strength
superhuman durability;superhuman durability
superhuman stamina;superhuman stamina
superhuman speed;superhuman speed
superhuman agility;superhuman agility
superhuman reflexes;superhuman reflexes
regenerative healing factor;regenerative healing factor
flight;flight
immortality;immortality
telepathy;telepathy
telepathy;telephatic powers
wall crawling;wall crawling
enhanced strength;enhanced strength
teleportation;teleportation
invulnerability;invulnerability
self replication;self replication
peak human speed;enhanced speed
energy manipulation;manipulation powers
energy manipulation;energy powers
mind control;mind powers
mind control;mind control
peak human strength;enhanced strength
astral projection;astral projection
shapeshifting;shapeshifting
superhumanly dense tissue;superhuman dense tissue
telekinesis;telekinesis
astral projection;astral powers
astral projection;projection powers
superhumanly acute senses;senses powers
peak human reflexes;enhanced reflexes
peak human agility;enhanced agility
peak human durability;enhanced durability
peak human stamina;enhanced stamina
extended longevity;slowed/suspended/suppresed aging
self sustenance;self sustenance
superhuman senses;senses powers
energy absorption;energy powers
energy absorption;absorption powers
enhanced durability;enhanced durability
enhanced reflexes;enhanced reflexes
intangibility;intangibility
shape shifting;shapeshifting
allspeak;allspeak
longevity;slowed/suspended/suppresed aging
superhuman longevity;superhuman longevity
enhanced agility;enhanced agility
healing factor;healing powers
invisibility;invisibility
spider sense;spider sense
superhuman equilibrium;superhuman/perfect equilibrium
chi manipulation;manipulation powers
chi manipulation;chi powers
enhanced speed;enhanced speed
enhanced stamina;enhanced stamina
force field;force field powers
levitation;levitation
resurrection;resurrection
accelerated healing factor;healing powers
claws;claws
energy projection;energy powers
energy projection;projection powers
enhanced senses;senses powers
force fields;force field powers
psionics;psionic powers
pyrokinesis;pyrokinesis/pyrokinetics
size alteration;size alteration
accelerated healing;healing powers
energy blasts;blasts powers
energy blasts;energy powers
concussive blasts;blasts powers
concussive blasts;concussive powers
mental amnesia;mental powers
photokinesis;photokinesis
vampirism;vampirism
constituent matter manipulation;manipulation powers
constituent matter manipulation;matter powers
contaminant immunity;immunity to different things
enhanced endurance;enhanced endurance
hypnotism;hypnosis
peak human healing;healing powers
precognition;precognition
psionic blasts;blasts powers
psionic blasts;psionic powers
regeneration;regeneration
superhuman endurance;enhanced endurance
time travel;travel powers
transformation;transformation powers
weather manipulation;manipulation powers
weather manipulation;weather powers
advanced longevity;slowed/suspended/suppresed aging
aquatic healing;healing powers
camouflage capabilities;camouflage
constituent matter generation;generation powers
cosmic energy manipulation;manipulation powers
cosmic energy manipulation;cosmic energy powers
cosmic energy manipulation;cosmic powers
disease immunity;immunity to different things
matter transmutation;matter powers
matter transmutation;transmutation powers
necromancy;necromancy
psionic shield;shields powers
psionic shield;psionic powers
superhuman leaping;leaping powers
telepathic cloak;telephatic powers
telepathic cloak;cloak/stealth powers
transmutation;transmutation powers
asgardian physiology;DELETE
cosmic pyrokinesis;cosmic powers
cosmic pyrokinesis;pyrokinesis/pyrokinetics
electrokinesis;electrokinesis
empathy;empathy/emphatical powers
enhanced superhuman strength;superhuman strength
fangs & claws;fangs
fangs & claws;claws
genetic memory;memory powers
hellfire manipulation;manipulation powers
hellfire manipulation;hellfire powers
illusions;illusions
life force absorption;life force powers
life force absorption;absorption powers
matter manipulation;manipulation powers
matter manipulation;matter powers
mental detection;perception/detection powers
mental detection;mental powers
mental paralysis;mental powers
night vision;enhanced/specific vision
quick repair;self/quick repair
superhuman hearing;senses powers
telepathic resistance;resistance powers
the power cosmic;cosmic powers
thermokinesis;thermokinesis
amphibious breathing;amphibious powers
atmokinesis;atmokinesis
camouflage;camouflage
chi augmentation;chi powers
cosmic awareness;cosmic powers
cosmic awareness;cosmic awareness
energy blast;blasts powers
energy blast;energy powers
enhanced vision;enhanced/specific vision
fangs;fangs
hydrokinesis;hydrokinesis
hypnosis;hypnosis
immunity to spider man's spider sense;immunity to different things
magic;magic powers
mind possession;mind powers
